address,retail_size,module,binary,name,namespace,source,symbol,artifact,adapter_mode,adapter_macro,adapter,object,source_status,compile_status,semantic_status,asm_status,runtime_ready,runtime_tested,subsystem,provenance,compiler,matched_bytes,total_bytes,notes
0x00444A68,0x10,static.crs,code.bin,Savedata::Sodateya::IsEggExist,Savedata::Sodateya,src/savedata/is_egg_exist.cpp,_ZNK8Savedata8Sodateya10IsEggExistENS_10SodateyaIDE,IsEggExist_00444a68,direct_include,,src/code.bin/IsEggExist_00444a68.cpp,build/code.bin/IsEggExist_00444a68.o,SOURCE_WRITTEN,COMPILES,SEMANTIC_VERIFIED,ASM_MATCH,true,true,daycare,RETAIL_ORIGINAL_SYMBOL,arm-none-eabi-g++ 16.2.0,16,16,Exact ARM bytes; Hybrid #1 boot confirmed by user
0x00444BFC,0x64,static.crs,code.bin,Savedata::Sodateya::EggClear,Savedata::Sodateya,src/savedata/egg_clear.cpp,_ZN8Savedata8Sodateya8EggClearENS_10SodateyaIDE,EggClear_00444bfc,direct_include,,src/code.bin/EggClear_00444bfc.cpp,build/code.bin/EggClear_00444bfc.o,SOURCE_WRITTEN,COMPILES,SEMANTIC_VERIFIED,ASM_DIFFERENT,false,false,daycare,RESEARCHER_NAME,arm-none-eabi-g++ 16.2.0,,,Semantic reconstruction compiles; not runtime-ready
0x00358FA4,0x2C,static.crs,code.bin,gfl2::math::Random::Initialize,gfl2::math::Random,src/gfl2/math/random.cpp,_ZN4gfl24math6Random10InitializeENS1_5StateE,RandomInitialize_00358fa4,macro_select,POKEMOON_SPLIT_FUNCTION,src/code.bin/RandomInitialize_00358fa4.cpp,build/code.bin/RandomInitialize_00358fa4.o,SOURCE_WRITTEN,COMPILES,SEMANTIC_VERIFIED,ASM_DIFFERENT,false,false,rng,RETAIL_ORIGINAL_SYMBOL,arm-none-eabi-g++ 16.2.0,,,Aggregate copy and constant-load code generation differs
0x003590D8,0x80,static.crs,code.bin,gfl2::math::Random::Next(unsigned int),gfl2::math::Random,src/gfl2/math/random.cpp,_ZN4gfl24math6Random4NextEj,RandomNextLimit_003590d8,macro_select,POKEMOON_SPLIT_FUNCTION,src/code.bin/RandomNextLimit_003590d8.cpp,build/code.bin/RandomNextLimit_003590d8.o,SOURCE_WRITTEN,COMPILES,SEMANTIC_VERIFIED,ASM_DIFFERENT,false,false,rng,RETAIL_ORIGINAL_SYMBOL,arm-none-eabi-g++ 16.2.0,,,Generated section is 0x88 bytes
0x00359158,0x7C,static.crs,code.bin,gfl2::math::Random::Next(),gfl2::math::Random,src/gfl2/math/random.cpp,_ZN4gfl24math6Random4NextEv,RandomNext_00359158,macro_select,POKEMOON_SPLIT_FUNCTION,src/code.bin/RandomNext_00359158.cpp,build/code.bin/RandomNext_00359158.o,SOURCE_WRITTEN,COMPILES,SEMANTIC_VERIFIED,ASM_DIFFERENT,false,false,rng,RESEARCHER_NAME,arm-none-eabi-g++ 16.2.0,,,Generated section is 0x70 bytes
0x003591D4,0x0C,static.crs,code.bin,gfl2::math::Random::SaveState,gfl2::math::Random,src/gfl2/math/random.cpp,_ZNK4gfl24math6Random9SaveStateEv,RandomSaveState_003591d4,macro_select,POKEMOON_SPLIT_FUNCTION,src/code.bin/RandomSaveState_003591d4.cpp,build/code.bin/RandomSaveState_003591d4.o,SOURCE_WRITTEN,COMPILES,SEMANTIC_VERIFIED,ASM_DIFFERENT,false,false,rng,RETAIL_ORIGINAL_SYMBOL,arm-none-eabi-g++ 16.2.0,,,GCC uses core-register copy instead of retail VFP copy
0x003591E0,0x04,static.crs,code.bin,gfl2::math::Random::Random,gfl2::math::Random,src/gfl2/math/random.cpp,_ZN4gfl24math6RandomC1Ev,RandomCtor_003591e0,macro_select,POKEMOON_SPLIT_FUNCTION,src/code.bin/RandomCtor_003591e0.cpp,build/code.bin/RandomCtor_003591e0.o,SOURCE_WRITTEN,COMPILES,SEMANTIC_VERIFIED,ASM_MATCH,true,false,rng,RETAIL_ORIGINAL_SYMBOL,arm-none-eabi-g++ 16.2.0,4,4,Empty constructor is bx lr
0x0044123C,0x0C,static.crs,code.bin,Savedata::BOX::SetWallPaper,Savedata::BOX,src/savedata/box_accessors.cpp,_ZN8Savedata3BOX12SetWallPaperEjj,SetWallPaper_0044123c,macro_select,POKEMOON_SPLIT_FUNCTION,src/code.bin/SetWallPaper_0044123c.cpp,build/code.bin/SetWallPaper_0044123c.o,SOURCE_WRITTEN,COMPILES,SEMANTIC_VERIFIED,ASM_MATCH,true,false,box,RETAIL_ORIGINAL_SYMBOL,arm-none-eabi-g++ 16.2.0,12,12,Exact fixed-offset byte store
0x004A786C,0x08,static.crs,code.bin,Savedata::BOX::GetTrayMax,Savedata::BOX,src/savedata/box_accessors.cpp,_ZNK8Savedata3BOX10GetTrayMaxEv,GetTrayMax_004a786c,macro_select,POKEMOON_SPLIT_FUNCTION,src/code.bin/GetTrayMax_004a786c.cpp,build/code.bin/GetTrayMax_004a786c.o,SOURCE_WRITTEN,COMPILES,SEMANTIC_VERIFIED,ASM_MATCH,true,false,box,RETAIL_ORIGINAL_SYMBOL,arm-none-eabi-g++ 16.2.0,8,8,Exact fixed-offset byte load
0x004A7964,0x18,static.crs,code.bin,Savedata::BOX::GetTeamName,Savedata::BOX,src/savedata/box_accessors.cpp,_ZNK8Savedata3BOX11GetTeamNameEj,GetTeamName_004a7964,macro_select,POKEMOON_SPLIT_FUNCTION,src/code.bin/GetTeamName_004a7964.cpp,build/code.bin/GetTeamName_004a7964.o,SOURCE_WRITTEN,COMPILES,SEMANTIC_VERIFIED,ASM_DIFFERENT,false,false,box,RETAIL_ORIGINAL_SYMBOL,arm-none-eabi-g++ 16.2.0,17,24,Equivalent 0x16-byte stride calculation; instruction scheduling differs
